curdr,month,predr,predtr,prerain
764,2,1515,10.3,41.2
643,3,764,9,7.2
553,4,643,9.1,38.0
641,5,553,9.2,89.9
972,6,641,8.9,149.9
1901,7,972,7.8,175.6
2194,8,1901,7.2,200.1
1642,9,2194,8.1,233.6
1649,10,1642,7.3,364.1
1611,11,1649,7.9,392.3
961,12,1611,8.5,79.9
530,1,961,10.5,1.6
325,2,530,11.2,0.0
270,3,325,8.6,2.1
182,4,270,8.1,39.6
187,5,182,8.7,7.8
227,6,187,9.3,99.9
376,7,227,7.6,147.4
469,8,376,7.4,98.2
575,9,469,7.9,276.0
654,10,575,8.1,188.0
875,11,654,7.9,211.2
912,12,875,8.5,22.5
